,title,tempo,zcr_mean,zcr_var,rmse_mean,rmse_var,centroid_mean,centroid_var,bandwidth_mean,bandwidth_var,contrast_mean,contrast_var,rolloff_mean,rolloff_var,flatness_mean,flatness_var,tempogram_ratio_mean,tempogram_ratio_var,harmonic_mean,harmonic_var,percussive_mean,percussive_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,subgenre
0,Slipknot - Wait And Bleed [OFFICIAL VIDEO] [HD]-B1zCN0YhW1s.wav,92.28515625,0.11567012444369196,0.0018561373638415915,0.09515585479671267,0.000260622479858962,2706.906390160289,316796.47077350883,2709.204449103991,62660.47788272083,20.020285796688757,131.99818148133178,5849.006298525784,934628.4253670495,0.041329425,0.00076736294,0.6321891500052153,0.012228588691708021,-1.3881937e-05,0.013657691,-0.0014209087,0.0038883896,-34.48051,470.16708,77.36669,296.12543,-2.0059428,140.08641,24.725233,111.32389,4.008204,93.49925,14.00303,49.744427,2.0377629,55.22897,6.8884597,38.45541,1.0028651,32.42506,6.5055776,34.449425,-0.6511097,33.97969,5.5148873,28.284971,-0.15383646,26.07918,0.2232687,23.035934,-1.5117619,22.146933,1.7188263,19.806105,-5.695896,21.813492,0.9050253,22.020922,-1.6106093,25.888464,0.429804,31.244213,nu
0,Slow Chemical-dtu8HU0kXio.wav,161.4990234375,0.10506210090944272,0.0025806670381825205,0.1553550581604149,0.001168793846299439,2228.1237240348814,570473.0764843045,2290.5718748122995,261935.69505963172,23.08220666769881,145.03009972852635,4654.463521762529,2622029.9133334626,0.019487448,0.00068644586,0.5643560210405189,0.020304528025597127,-1.0740822e-05,0.037286554,-8.103579e-06,0.011488544,-14.802419,1918.9414,99.91707,1077.5071,-17.227993,596.2515,31.880884,187.85403,9.710341,145.34782,14.484703,72.13155,-1.0578154,78.85791,9.906794,70.44763,1.1412612,55.221264,8.255331,57.920303,-0.7919229,48.83166,5.9037538,34.783154,-2.07173,40.231403,-3.2288663,37.501575,-5.8939333,32.712708,3.9602065,49.758972,-6.182619,35.61423,0.153346,37.65132,-1.206963,43.888348,-2.137626,48.73572,nu
0,Smile Empty Soul - Bottom Of The Bottle (Official) Video-KDl0LLH4q7I.wav,107.666015625,0.11282736007643189,0.0023365597589387384,0.05019687438199754,7.958798479967568e-05,2586.567177702493,226143.82986810268,2598.908556787239,70162.81898713287,22.67323157606109,138.74628974400036,5614.174385188903,794575.8524629992,0.026609462,0.00041596542,0.6331385421741013,0.02694276092359895,1.7023194e-07,0.004399395,-0.00012893911,0.00089939876,-122.14786,2688.3923,74.537796,300.4431,-0.73025787,441.03995,33.283535,200.74203,2.2664344,215.51302,11.490369,90.435684,-2.0723462,92.74526,12.065872,69.279,-0.28369632,61.79089,8.669051,58.731556,2.2677853,44.19262,5.320647,39.654068,-4.7493906,49.55292,0.6086771,40.540707,-2.095096,37.21975,-0.5753898,34.89034,-7.097065,35.93094,-1.8796006,49.1095,-5.9409966,57.09599,0.90507126,55.75055,nu
0,Snot - Snot-5nFCl-5PqUc.wav,69.83741554054055,0.15103839130224458,0.0023526492436394767,0.18107382067637595,0.0017285292625517695,2752.796831556086,259549.58639770086,2511.0901397877733,65535.217370457576,20.889320487170657,132.44881673575873,5439.700440208979,1116150.5570953083,0.047614522,0.0015045011,0.6206383336691379,0.00687297040771497,1.3291286e-05,0.029979007,-4.3928583e-05,0.027736735,38.78527,597.1931,68.8738,343.83658,-22.267778,216.03642,28.16833,134.95544,7.968694,131.64919,7.102852,85.80878,5.391223,121.78493,12.624308,109.71782,0.6305236,59.085037,8.283551,49.852283,4.0324836,48.829384,3.7674973,43.921803,-4.6052747,50.31071,1.6892917,43.65224,-4.704804,44.821354,-0.7431058,37.19165,1.8391876,40.455173,5.50747,45.730434,-0.569534,46.018612,-1.3782701,36.79894,nu
0,SOiL - Halo (Director's Cut) [Official Video]-RFc-2aNZ6VY.wav,112.34714673913044,0.13735404472232973,0.0014804490724368308,0.0950055481278336,0.0004601552457941745,2863.1870149716856,236454.97146990747,2657.5959785629693,80966.00153396337,21.08585626100196,146.349828599843,5947.305704122727,990227.7701839758,0.047201093,0.00089328736,0.7103624850836721,0.014444662607146578,-3.6579675e-06,0.012150799,-0.00015990075,0.005235221,-28.047112,636.082,67.803734,285.83286,-11.028657,228.23926,30.289682,170.09845,6.658556,148.55876,10.86864,59.775295,0.16946742,109.43806,9.761172,63.446728,1.3921934,57.973248,6.45697,62.77409,1.8475289,46.285965,4.672711,40.042496,-0.40957075,35.955864,0.045147922,39.484356,-4.0865083,31.991068,3.0612898,34.336216,-5.0168757,32.999477,-1.1930262,28.546627,-1.4366078,30.956139,3.6678615,29.41263,nu
0,SOiL - Redefine-WkqJ8SvaDfc.wav,112.34714673913044,0.13822478775638544,0.0013123325895930162,0.12816614118267206,0.0005080179880700099,2671.516743413555,224097.82775020646,2470.9560733758117,107062.53590218636,20.926988490051087,139.16127799754,5353.150963561823,1152824.6016236632,0.035279322,0.0006249178,0.6987671176985574,0.013286808708015579,1.9228864e-05,0.020644195,-0.0001480454,0.009366637,-6.052294,611.41943,74.51928,323.6265,-20.046831,321.6426,32.393135,190.51306,6.6355243,178.69868,14.404932,72.00388,1.7090577,114.18005,11.383094,92.416336,7.720128,63.28281,9.777075,68.60051,-3.993332,41.86176,-0.02754169,64.02973,-2.8403604,56.170822,4.2730484,49.77264,-3.139206,39.683826,0.07622157,45.86847,-4.4208,34.084972,8.170187,32.451744,1.6597683,32.735596,-2.6625054,34.48261,nu
0,Somewhere I Belong (Official Music Video) [4K UPGRADE] – Linkin Park-zsCD5XCu6CM.wav,161.4990234375,0.11401858492163312,0.0013513507616400068,0.18414950756258586,0.0010067626924013613,2573.17667584268,243258.37946521986,2581.091347588498,79570.26991242461,20.841131475371295,117.91313375745408,5335.0344064434985,1152697.2106642993,0.031369448,0.00045027043,0.7390448156348298,0.018467940745098523,2.9359626e-05,0.050992124,0.0007273693,0.015198366,24.656044,671.31537,81.82088,313.16077,-10.693845,204.53038,27.517143,116.8447,6.8573613,101.21713,8.29944,54.980927,6.6355896,68.36056,8.8013735,43.449356,3.3286428,44.125793,5.9613957,51.917114,2.3965645,40.904938,5.485373,41.480335,-1.7685713,28.829273,4.2258043,34.81207,-4.0782466,25.61154,6.4064693,28.642221,-2.4152515,21.23451,2.3467872,28.737703,0.15555882,32.22585,3.8187327,40.023136,nu
0,SOULFLY - Prophecy (OFFICIAL MUSIC VIDEO)-0Sl5-Cl6LOo.wav,135.99917763157896,0.11060779677825078,0.0005734284609519919,0.11636872454486352,0.00021206046806433572,2451.705003771658,175769.08231602263,2394.4377653501683,95591.8451476273,20.330893925017484,121.98517189737348,4943.320108419602,984635.339553617,0.027342694,0.0003276384,0.7011359594060782,0.0074809929148615135,1.3992842e-05,0.021631638,-0.00069210096,0.0053522172,-19.530916,364.80927,83.768394,262.80704,-20.628435,188.03497,38.204964,159.13818,3.1932445,105.975136,11.927799,33.027157,6.42941,63.037018,5.936528,59.269325,5.3595276,42.62171,5.8566236,37.896,1.0178653,47.77821,10.065544,29.436623,-2.688135,31.419378,1.0819167,28.572683,2.3731208,25.87051,2.9745178,29.843775,-3.4684167,22.47423,1.5656891,26.890112,0.6006517,27.138144,6.800612,20.623001,nu
0,Soulfly Feat. Corey Taylor - Jumpdafuckup-JkhaK9ZeVyw.wav,99.38401442307692,0.11752914570433437,0.002576712757418429,0.1891235652080637,0.0017608639149500342,2482.191301070706,432397.75916525675,2503.519480650003,135004.91348994448,20.683982076185412,143.6564669909428,5153.402171415441,1894359.2650681178,0.038635504,0.0013313161,0.6661413847201736,0.01671962561029258,-7.836945e-06,0.041339554,7.7392004e-05,0.026131442,28.057177,1537.6416,87.00139,692.7459,-13.290431,232.9799,24.08523,182.86093,7.1670904,191.53542,9.603085,79.21464,3.8054094,89.61256,9.1095705,65.814255,-1.6234093,54.56935,4.636902,39.33038,2.0729702,44.240105,7.0007076,43.779774,0.18074693,42.516792,1.8854595,33.726616,-2.2308912,41.05079,1.1942133,31.502222,-2.6350794,39.026497,4.2681794,36.642815,-1.4853277,36.35891,1.8302535,33.71512,nu
0,Spineshank - New Disease [OFFICIAL VIDEO]-A-TO-L1Escc.wav,123.046875,0.1474356164135062,0.001968909993913852,0.08691165248605741,0.0006741484550543014,2866.3551972054065,231452.5967912342,2560.504105988227,102856.57073937477,20.677459204549304,134.72905059662097,5693.315573299632,1047522.5595660417,0.04826474,0.0011842081,0.5996615900969418,0.019510774802610938,-3.9745482e-05,0.010268903,-0.0008172253,0.0041908263,-41.72646,1535.6841,65.3106,395.51416,-18.451653,378.15527,30.873238,294.50095,4.314798,117.03726,15.942791,53.54675,3.2373822,93.11316,7.0144973,61.469463,2.624678,60.306477,7.627913,51.2623,4.9208226,47.902283,3.282058,44.581196,-4.0093656,42.17899,4.1710496,39.24076,-1.2166836,40.9471,1.845921,49.132584,-2.7363222,34.07177,4.0274715,46.06395,0.91783214,33.299637,3.9631355,30.81719,nu
